"ReachDir" "MvmtTime" "Lat" "Trial" "Base" "Adapt" "Drift" "PostDrift" "Washout" "Subj"
"81" 1.105 180.769 384.615 "1" "1" "0" "0" "0" "0" "S9"
"82" 1.215 171.154 405.769 "2" "1" "0" "0" "0" "0" "S9"
"83" -36.551 178.846 536.538 "3" "0" "1" "0" "0" "0" "S9"
"84" -43.503 165.385 580.769 "4" "0" "1" "0" "0" "0" "S9"
"85" -44.004 146.154 600.000 "5" "0" "0" "1" "0" "0" "S9"
"86" -40.635 161.538 586.538 "6" "0" "0" "1" "0" "0" "S9"
"87" -38.519 184.615 430.769 "7" "0" "0" "0" "1" "0" "S9"
"88" -41.404 173.077 523.077 "8" "0" "0" "0" "1" "0" "S9"
"89" -12.395 200.000 426.923 "9" "0" "0" "0" "0" "1" "S9"
"90" -3.283 211.538 459.615 "10" "0" "0" "0" "0" "1" "S9"
"91" -1.810 182.692 434.615 "1" "1" "0" "0" "0" "0" "S10"
"92" 1.859 167.308 438.462 "2" "1" "0" "0" "0" "0" "S10"
"93" -44.630 165.385 865.385 "3" "0" "1" "0" "0" "0" "S10"
"94" -46.725 186.538 828.846 "4" "0" "1" "0" "0" "0" "S10"
"95" -65.923 151.282 1328.205 "5" "0" "0" "1" "0" "0" "S10"
"96" -60.580 138.462 1205.128 "6" "0" "0" "1" "0" "0" "S10"
"97" -50.526 182.692 840.385 "7" "0" "0" "0" "1" "0" "S10"
"98" -47.437 169.231 1211.538 "8" "0" "0" "0" "1" "0" "S10"
"99" -4.127 165.385 638.462 "9" "0" "0" "0" "0" "1" "S10"
"100" -2.512 184.615 542.308 "10" "0" "0" "0" "0" "1" "S10"
"101" -1.064 167.308 376.923 "1" "1" "0" "0" "0" "0" "S11"
"102" -1.112 178.846 398.077 "2" "1" "0" "0" "0" "0" "S11"
"103" -47.285 173.077 526.923 "3" "0" "1" "0" "0" "0" "S11"
"104" -44.919 171.154 601.923 "4" "0" "1" "0" "0" "0" "S11"
"105" -44.345 171.154 863.462 "5" "0" "0" "1" "0" "0" "S11"
"106" -39.203 151.923 750.000 "6" "0" "0" "1" "0" "0" "S11"
"107" -45.294 165.385 717.308 "7" "0" "0" "0" "1" "0" "S11"
"108" -48.431 155.769 736.538 "8" "0" "0" "0" "1" "0" "S11"
"109" -0.953 157.692 551.923 "9" "0" "0" "0" "0" "1" "S11"
"110" -2.995 165.385 490.385 "10" "0" "0" "0" "0" "1" "S11"
"111" 0.527 157.692 373.077 "1" "1" "0" "0" "0" "0" "S12"
"112" 0.553 150.000 350.000 "2" "1" "0" "0" "0" "0" "S12"
"113" -49.474 205.128 610.256 "3" "0" "1" "0" "0" "0" "S12"
"114" -49.549 190.385 536.538 "4" "0" "1" "0" "0" "0" "S12"
"115" -43.268 155.769 569.231 "5" "0" "0" "1" "0" "0" "S12"
"116" -41.679 159.615 576.923 "6" "0" "0" "1" "0" "0" "S12"
"117" -47.151 184.615 540.385 "7" "0" "0" "0" "1" "0" "S12"
"118" -48.384 190.385 544.231 "8" "0" "0" "0" "1" "0" "S12"
"119" -4.414 184.615 401.923 "9" "0" "0" "0" "0" "1" "S12"
"120" -4.995 150.000 361.538 "10" "0" "0" "0" "0" "1" "S12"
"121" -2.656 209.615 373.077 "1" "1" "0" "0" "0" "0" "S13"
"122" 0.258 175.000 328.846 "2" "1" "0" "0" "0" "0" "S13"
"123" -53.687 125.641 612.821 "3" "0" "1" "0" "0" "0" "S13"
"124" -55.610 200.000 535.897 "4" "0" "1" "0" "0" "0" "S13"
"125" -62.682 153.846 619.231 "5" "0" "0" "1" "0" "0" "S13"
"126" -67.026 151.282 494.872 "6" "0" "0" "1" "0" "0" "S13"
"127" -35.004 182.051 664.103 "7" "0" "0" "0" "1" "0" "S13"
"128" -46.787 184.615 696.154 "8" "0" "0" "0" "1" "0" "S13"
"129" -5.027 186.538 359.615 "9" "0" "0" "0" "0" "1" "S13"
"130" -4.490 148.077 361.538 "10" "0" "0" "0" "0" "1" "S13"
"131" -0.035 180.769 401.923 "1" "1" "0" "0" "0" "0" "S14"
"132" -1.776 182.692 376.923 "2" "1" "0" "0" "0" "0" "S14"
"133" -48.568 203.846 550.000 "3" "0" "1" "0" "0" "0" "S14"
"134" -52.684 188.462 569.231 "4" "0" "1" "0" "0" "0" "S14"
"135" -41.317 201.923 569.231 "5" "0" "0" "1" "0" "0" "S14"
"136" -42.356 200.000 689.744 "6" "0" "0" "1" "0" "0" "S14"
"137" -40.044 213.462 550.000 "7" "0" "0" "0" "1" "0" "S14"
"138" -45.942 211.538 544.231 "8" "0" "0" "0" "1" "0" "S14"
"139" -9.318 221.154 453.846 "9" "0" "0" "0" "0" "1" "S14"
"140" -9.829 226.923 486.538 "10" "0" "0" "0" "0" "1" "S14"
"141" 3.391 169.231 359.615 "1" "1" "0" "0" "0" "0" "S15"
"142" 2.130 175.000 361.538 "2" "1" "0" "0" "0" "0" "S15"
"143" -44.243 207.692 521.154 "3" "0" "1" "0" "0" "0" "S15"
"144" -47.161 225.000 609.615 "4" "0" "1" "0" "0" "0" "S15"
"145" -61.726 173.077 1053.846 "5" "0" "0" "1" "0" "0" "S15"
"146" -58.311 238.462 1207.692 "6" "0" "0" "1" "0" "0" "S15"
"147" -62.792 215.385 594.231 "7" "0" "0" "0" "1" "0" "S15"
"148" -50.404 192.308 920.513 "8" "0" "0" "0" "1" "0" "S15"
"149" -9.497 184.615 659.615 "9" "0" "0" "0" "0" "1" "S15"
"150" -9.806 232.692 611.538 "10" "0" "0" "0" "0" "1" "S15"
